atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
12,2,53,43,28,25,11,6,78,60,42,31,D
12,6,63,64,32,30,7,6,69,61,28,22,H
5,6,53,67,28,36,3,12,56,78,26,47,H
4,8,70,78,41,44,4,9,54,75,23,44,H
10,4,66,67,42,35,9,3,74,55,38,32,A
4,10,59,56,35,29,10,9,71,59,35,29,D
7,14,43,68,19,40,8,4,67,52,37,26,A
8,9,76,70,43,39,8,4,69,49,36,25,A
8,4,68,75,34,33,7,13,64,69,40,40,D
10,3,58,43,28,23,9,3,70,56,42,30,D
5,9,69,75,33,35,10,10,58,64,33,37,H
7,12,63,77,37,50,7,12,39,64,20,35,H
9,4,62,49,36,27,5,4,73,78,35,36,H
11,3,74,49,37,29,12,5,63,68,30,32,D
8,6,72,61,34,23,4,7,69,63,42,28,H
7,4,69,66,41,39,7,8,84,69,43,38,H
4,11,58,85,26,47,9,4,59,62,38,32,H
1,11,54,79,22,48,5,8,74,77,38,39,H
5,11,60,74,37,38,5,9,75,80,42,44,D
8,6,74,62,38,33,8,4,72,44,36,25,H
9,3,75,59,38,28,7,6,58,63,31,32,A
4,4,67,75,32,35,10,4,66,49,31,28,D
6,10,80,88,40,51,8,10,71,69,43,46,H
9,6,71,61,34,31,6,11,34,66,19,36,H
5,8,75,79,42,38,4,10,68,68,41,34,H
8,4,67,65,38,35,10,7,59,65,39,32,A
10,5,56,45,34,25,10,6,79,56,40,22,D
4,7,77,66,36,33,6,11,74,74,44,34,A
11,5,54,75,22,37,11,7,83,64,40,31,A
6,6,70,49,33,26,2,9,60,69,23,41,D
7,11,59,78,27,44,9,6,58,66,30,30,D
8,6,70,56,35,23,6,5,85,41,40,20,A
5,10,31,76,21,42,7,10,79,86,43,48,H
8,7,63,66,37,30,6,5,76,68,43,30,H
9,10,68,74,41,53,7,9,55,76,25,41,H
8,4,64,50,31,25,4,6,81,60,36,30,H
1,9,59,69,34,30,12,8,56,70,19,34,D
8,6,59,56,30,25,3,4,69,71,31,35,H
2,6,46,87,17,47,10,4,53,40,33,21,H
7,9,74,80,42,35,5,4,69,71,35,36,H
11,8,90,67,41,31,9,6,70,55,34,32,H
7,6,74,73,44,35,7,3,67,58,32,30,H
4,8,78,78,36,41,7,9,35,74,22,39,H
8,6,66,57,31,32,7,5,64,57,31,28,D
11,6,59,39,39,25,8,9,78,80,45,35,H
4,4,87,44,44,20,1,10,62,76,34,41,H
11,9,58,74,28,38,9,8,62,64,31,31,H
1,7,77,69,32,35,13,11,74,70,47,52,H
5,7,72,70,37,38,13,8,85,69,42,32,A
10,11,57,70,28,38,5,7,49,89,27,50,A
9,11,75,75,41,38,12,6,75,64,39,32,A
9,11,60,89,41,62,6,9,78,72,36,35,A
7,6,82,67,47,28,10,8,65,72,35,40,D
7,7,42,89,26,51,6,8,81,70,38,41,H
1,10,52,83,26,46,2,6,92,66,44,34,A
14,9,86,75,46,33,12,7,61,42,39,30,H
6,11,37,78,21,43,10,12,58,67,29,37,H
13,5,78,72,40,35,7,6,76,75,45,32,D
7,5,53,63,27,33,9,11,71,71,37,34,H
6,3,71,56,33,31,8,4,74,58,36,32,H
6,10,57,66,28,33,6,4,95,38,54,18,A
8,10,66,84,40,55,7,9,72,71,35,34,D
2,11,59,86,27,51,7,6,83,71,46,30,D
14,7,80,70,40,34,9,13,61,60,31,37,H
7,4,71,62,34,33,6,8,74,75,35,36,H
6,11,56,69,30,36,4,9,82,78,33,47,D
7,5,81,77,45,33,5,6,89,70,45,35,H
7,5,58,60,31,31,8,6,54,47,35,29,A
8,5,46,97,29,53,8,3,92,38,54,20,H
6,10,42,71,25,39,7,6,78,58,38,30,D
13,7,80,74,42,30,10,8,70,76,38,40,A
8,6,50,49,33,25,9,9,70,83,40,53,H
10,7,67,82,39,42,15,7,81,75,41,36,D
8,4,84,36,46,16,7,4,84,70,42,32,D
6,9,73,75,38,38,12,10,85,65,44,32,D
6,7,81,68,44,27,7,10,51,71,31,40,H
5,10,87,71,35,40,6,3,54,50,24,26,D
7,10,70,87,32,44,3,12,53,88,26,58,H
8,14,59,58,29,39,9,6,82,77,48,36,H
6,7,88,70,49,35,10,4,48,95,31,48,D
8,7,70,57,38,33,7,11,63,73,31,41,A
7,5,60,47,40,21,12,5,75,69,36,33,D
7,11,51,81,30,44,8,5,80,74,41,36,A
5,11,84,74,38,44,8,10,76,57,51,39,D
10,7,76,72,39,35,10,4,84,34,48,18,A
6,13,57,61,26,39,8,6,94,60,51,25,H
8,6,73,75,42,36,9,4,42,96,30,49,D
6,9,81,64,46,30,3,11,58,88,28,56,D
8,11,60,99,30,65,10,7,75,73,44,37,H
6,6,97,64,56,35,4,4,46,51,19,29,D
8,7,78,90,36,41,9,10,63,81,34,53,H
3,10,61,86,30,55,7,7,80,71,38,36,H
5,5,50,46,23,26,8,13,67,64,30,41,H
9,13,61,79,35,59,8,6,60,54,39,25,A
12,5,68,52,40,24,4,8,74,66,37,33,H
10,6,83,70,40,33,7,12,89,71,46,47,H
12,5,75,77,37,37,8,7,76,69,42,35,D
8,9,95,66,52,26,11,8,81,93,41,41,H
11,7,77,70,49,37,7,6,87,63,53,34,D
7,12,69,71,46,46,11,12,63,95,34,60,H
10,5,52,81,35,43,8,10,51,75,27,36,D
4,9,52,88,26,48,6,9,52,81,26,40,H
10,6,77,58,47,30,10,5,78,81,37,39,H
8,6,97,60,56,23,7,8,70,68,34,31,H
6,13,58,83,35,62,7,5,77,61,46,34,D
7,4,65,42,31,19,5,9,86,69,36,36,H
13,6,75,49,37,23,5,10,64,75,25,42,H
8,4,54,76,31,34,7,11,61,99,31,63,H
9,11,75,69,52,46,3,7,71,76,36,36,H
6,10,59,83,30,53,10,6,63,69,29,30,D
5,10,55,101,19,56,10,6,74,75,36,33,A
3,7,68,79,36,39,8,6,98,56,58,24,D
6,7,68,77,30,37,12,7,91,52,44,24,D
7,6,74,81,34,41,7,3,57,68,32,31,D
6,10,95,66,47,43,7,8,58,81,33,44,H
7,3,59,58,36,22,10,6,76,64,44,31,D
3,10,81,63,31,36,8,13,67,79,37,54,H
7,9,48,75,28,40,8,3,70,38,34,18,A
7,6,62,66,33,34,9,10,74,73,52,50,H
6,4,51,70,24,35,5,7,74,83,38,39,A
11,11,74,81,55,56,7,7,82,77,40,40,A
10,3,69,42,35,20,5,6,59,76,27,34,D
9,5,76,63,45,29,9,9,92,58,48,38,D
9,7,92,53,41,22,8,8,67,65,35,38,H
13,6,72,68,38,28,4,11,82,61,33,35,D
7,9,50,83,32,41,6,11,52,102,17,54,H
9,12,63,79,34,52,8,11,60,84,34,55,H
8,6,101,56,58,23,5,2,68,62,37,23,H
